poi,path,shootingDate,shooter,description,note,fid,mid_thumbnail,small_thumbnail
"581",./images/581/IMG_2605.jpg,2021/08/09 16:27:33,Kohei Otsuka,舟戸安政馬頭尊,,"398",./mid_thumbs/581/IMG_2605.jpg,./small_thumbs/581/IMG_2605.jpg
"621",./images/621/IMG_2609.jpg,2021/08/09 16:28:25,Kohei Otsuka,舟戸多蔵馬頭尊,,"399",./mid_thumbs/621/IMG_2609.jpg,./small_thumbs/621/IMG_2609.jpg
"621",./images/621/IMG_2608.jpg,2021/08/09 16:28:09,Kohei Otsuka,舟戸多蔵馬頭尊,,"400",./mid_thumbs/621/IMG_2608.jpg,./small_thumbs/621/IMG_2608.jpg
"601",./images/601/IMG_2616.jpg,2021/08/09 16:37:16,Kohei Otsuka,舟戸仁平馬頭尊,,"401",./mid_thumbs/601/IMG_2616.jpg,./small_thumbs/601/IMG_2616.jpg
"601",./images/601/IMG_2615.jpg,2021/08/09 16:37:05,Kohei Otsuka,舟戸仁平馬頭尊,,"402",./mid_thumbs/601/IMG_2615.jpg,./small_thumbs/601/IMG_2615.jpg
"624",./images/624/IMG_2601.jpg,2021/08/09 16:25:45,Kohei Otsuka,舟戸豊作馬頭尊,,"403",./mid_thumbs/624/IMG_2601.jpg,./small_thumbs/624/IMG_2601.jpg
"608",./images/608/IMG_2636.jpg,2021/08/09 17:05:38,Kohei Otsuka,舟戸妙馬観世音,,"404",./mid_thumbs/608/IMG_2636.jpg,./small_thumbs/608/IMG_2636.jpg
"622",./images/622/IMG_2597.jpg,2021/08/09 16:17:21,Kohei Otsuka,下耕地利市郎馬頭尊,,"405",./mid_thumbs/622/IMG_2597.jpg,./small_thumbs/622/IMG_2597.jpg
"605",./images/605/IMG_2593.jpg,2021/08/09 16:13:43,Kohei Otsuka,下耕地末吉馬頭尊,,"406",./mid_thumbs/605/IMG_2593.jpg,./small_thumbs/605/IMG_2593.jpg
"605",./images/605/IMG_2592.jpg,2021/08/09 16:13:39,Kohei Otsuka,下耕地末吉馬頭尊,,"407",./mid_thumbs/605/IMG_2592.jpg,./small_thumbs/605/IMG_2592.jpg
"615",./images/615/IMG_2593.jpg,2021/08/09 16:13:43,Kohei Otsuka,下耕地北光馬頭尊,,"408",./mid_thumbs/615/IMG_2593.jpg,./small_thumbs/615/IMG_2593.jpg
"615",./images/615/IMG_2590.jpg,2021/08/09 16:12:57,Kohei Otsuka,下耕地北光馬頭尊,,"409",./mid_thumbs/615/IMG_2590.jpg,./small_thumbs/615/IMG_2590.jpg
"1045",./images/1045/IMG_2796.jpg,2021/08/10 12:37:32,Kohei Otsuka,上新田釈迦堂阿弥陀如来,,"410",./mid_thumbs/1045/IMG_2796.jpg,./small_thumbs/1045/IMG_2796.jpg
"1046",./images/1046/IMG_2805.jpg,2021/08/10 12:39:59,Kohei Otsuka,上新田釈迦堂享保地蔵菩薩,,"411",./mid_thumbs/1046/IMG_2805.jpg,./small_thumbs/1046/IMG_2805.jpg
"1047",./images/1047/IMG_2797.jpg,2021/08/10 12:38:01,Kohei Otsuka,上新田釈迦堂寛保地蔵菩薩,,"412",./mid_thumbs/1047/IMG_2797.jpg,./small_thumbs/1047/IMG_2797.jpg
"1048",./images/1048/IMG_2792.jpg,2021/08/10 12:37:07,Kohei Otsuka,上新田釈迦堂明和地蔵菩薩,,"413",./mid_thumbs/1048/IMG_2792.jpg,./small_thumbs/1048/IMG_2792.jpg
"1078",./images/1078/IMG_2804.jpg,2021/08/10 12:39:43,Kohei Otsuka,上新田釈迦堂青面金剛,,"414",./mid_thumbs/1078/IMG_2804.jpg,./small_thumbs/1078/IMG_2804.jpg
"1123",./images/1123/IMG_2801.jpg,2021/08/10 12:39:02,Kohei Otsuka,上新田釈迦堂十九夜念仏供養,,"415",./mid_thumbs/1123/IMG_2801.jpg,./small_thumbs/1123/IMG_2801.jpg
"1123",./images/1123/IMG_2800.jpg,2021/08/10 12:38:52,Kohei Otsuka,上新田釈迦堂十九夜念仏供養,,"416",./mid_thumbs/1123/IMG_2800.jpg,./small_thumbs/1123/IMG_2800.jpg
"1106",./images/1106/IMG_2807.jpg,2021/08/10 12:40:33,Kohei Otsuka,上新田釈迦堂松島家馬頭観世音,,"417",./mid_thumbs/1106/IMG_2807.jpg,./small_thumbs/1106/IMG_2807.jpg
"1106",./images/1106/IMG_2806.jpg,2021/08/10 12:40:27,Kohei Otsuka,上新田釈迦堂松島家馬頭観世音,,"418",./mid_thumbs/1106/IMG_2806.jpg,./small_thumbs/1106/IMG_2806.jpg
"1104",./images/1104/IMG_2794.jpg,2021/08/10 12:37:18,Kohei Otsuka,上新田釈迦堂中村家馬頭観世音,,"419",./mid_thumbs/1104/IMG_2794.jpg,./small_thumbs/1104/IMG_2794.jpg
"1073",./images/1073/IMG_2734.jpg,2021/08/10 11:45:47,Kohei Otsuka,観音青面金剛三猿庚申,,"420",./mid_thumbs/1073/IMG_2734.jpg,./small_thumbs/1073/IMG_2734.jpg
